lever_id,issue_code,repair_metric_name,target_metric_name,financial_model_location,impact_kind,mapping_basis,flags
balance_sheet::Accounts Payable Days,growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Payable Days,growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Payable Days,growth_model_mismatch,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Payable Days,operating_model_contradiction,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Payable Days,operating_model_contradiction,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Payable Days,operating_model_contradiction,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Payable Days,working_capital_payment_model_mismatch,current_ratio,current_assets,finmo_json.quarter_rows[*].current_assets,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Payable Days,working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,current_assets,finmo_json.quarter_rows[*].current_assets,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Payable Days,working_capital_payment_model_mismatch,current_ratio,current_liabilities,finmo_json.quarter_rows[*].current_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Payable Days,working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,current_liabilities,finmo_json.quarter_rows[*].current_liabilities,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Payable Days,working_capital_payment_model_mismatch,current_ratio,current_ratio,derived from finmo_json.quarter_rows[*].current_assets and current_liabilities,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Payable Days,working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Payable Days,working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,working_capital_to_revenue_ratio,"derived from finmo_json.quarter_rows[*].current_assets, current_liabilities, revenue",derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Receivable Days,growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Receivable Days,growth_model_mismatch,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Receivable Days,growth_model_mismatch,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Receivable Days,operating_model_contradiction,operating_cash_flow_margin,operating_cash_flow,finmo_json.quarter_rows[*].operating_cash_flow,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Receivable Days,operating_model_contradiction,operating_cash_flow_margin,operating_cash_flow_margin,derived from finmo_json.quarter_rows[*].operating_cash_flow and revenue,derived,exact_repair_metric,multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Receivable Days,operating_model_contradiction,operating_cash_flow_margin,revenue,finmo_json.quarter_rows[*].revenue,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Receivable Days,working_capital_payment_model_mismatch,current_ratio,current_assets,finmo_json.quarter_rows[*].current_assets,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
balance_sheet::Accounts Receivable Days,working_capital_payment_model_mismatch,working_capital_to_revenue_ratio,current_assets,finmo_json.quarter_rows[*].current_assets,direct,proxy_from_source_metric_names,proxy_metric|multiple_target_metrics_for_same_repair_metric
